ID Number,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
74,NTRS,Northern Trust Corporation,69.55,16384936124.05,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs
75,FISV,"Fiserv, Inc.",64.94,16184296471.50,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
76,ORLY,"O&#39;Reilly Automotive, Inc.",154.23,16004003534.52,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/orly
77,ROST,"Ross Stores, Inc.",75.16,15770950872.64,1985,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/rost
78,ADI,"Analog Devices, Inc.",49.12,15434131950.08,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
79,PAYX,"Paychex, Inc.",41.97,15242224586.52,1983,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/payx
80,MNST,Monster Beverage Corporation,89.9,15029623412.70,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst
81,SBAC,SBA Communications Corporation,112.23,14478403759.74,1999,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/sbac
82,VIP,VimpelCom Ltd.,8.62,14241048952.52,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vip
83,LINTB,Liberty Interactive Corporation,29.55,14229673691.55,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lintb
84,TRIP,"TripAdvisor, Inc.",99.32,14181440664.04,n/a,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/trip
85,LINTA,Liberty Interactive Corporation,28.92,13926299937.72,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/linta
86,WFM,"Whole Foods Market, Inc.",38.095,13761636998.76,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/wfm
87,CHKP,Check Point Software Technologies Ltd.,71.8,13698700316.40,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
88,FAST,Fastenal Company,45.8,13592069160.20,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
89,NTAP,"NetApp, Inc.",42.5,13568380255.00,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/ntap
90,BBBY,Bed Bath & Beyond Inc.,65.11,13149219666.09,1992,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/bbby
91,IEP,Icahn Enterprises L.P.,109.43,13135033585.11,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/iep
92,KLAC,KLA-Tencor Corporation,78.28,12945018938.56,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac
93,CA,CA Inc.,28.5,12684233569.50,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
